age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
61.0,Early Bird,Light,Tropical,Mixed,Sweet
55.0,Early Bird,Heavy,Tropical,Asian,Sweet
37.0,Night Owl,Moderate,Dry,,Sour
40.0,,Heavy,,Mediterranean,Salty
62.0,Night Owl,Heavy,Cold,Mixed,Sour
69.0,Night Owl,Heavy,Cold,Mixed,Sour
33.0,Night Owl,Light,Cold,Mediterranean,Sweet
67.0,Irregular,Light,Temperate,Mediterranean,Sour
59.0,Early Bird,Heavy,Tropical,,Sweet
25.0,Irregular,Light,Cold,Mixed,Sweet
,Irregular,Heavy,Temperate,Asian,Sour
38.0,Night Owl,Light,Tropical,Asian,Spicy
18.0,Night Owl,Light,Tropical,Mixed,Spicy
,Night Owl,,Tropical,Asian,Spicy
46.0,Early Bird,Moderate,Temperate,Mixed,Salty
49.0,Early Bird,Light,Cold,Asian,Sweet
55.0,Early Bird,Moderate,Tropical,Asian,Sweet
22.0,Irregular,Moderate,Temperate,Mixed,Sour
,Night Owl,Moderate,Tropical,Mediterranean,Sweet
39.0,Irregular,Heavy,Dry,Mixed,Salty
64.0,Early Bird,Light,Dry,Mediterranean,Sour
51.0,Night Owl,,Temperate,Mixed,Sour
18.0,Early Bird,Moderate,Cold,Mixed,Sour
43.0,Night Owl,Light,Cold,Mediterranean,Sweet
60.0,,Heavy,Tropical,Mediterranean,Sweet
27.0,Irregular,Moderate,,Mixed,Sour
47.0,Irregular,Heavy,Cold,Mixed,Salty
,Early Bird,Heavy,Dry,Mixed,Salty
35.0,Irregular,Light,Temperate,Mediterranean,Sour
34.0,,Light,Dry,,Sour
43.0,Irregular,Heavy,Temperate,Mediterranean,Salty
25.0,Night Owl,Light,Tropical,Asian,Spicy
64.0,Irregular,Light,Dry,Mediterranean,Sour
57.0,Early Bird,Heavy,Temperate,Asian,Sour
66.0,Night Owl,Light,,Mixed,Sweet
29.0,Night Owl,Light,Temperate,Mixed,Sweet
44.0,Irregular,Moderate,Cold,Mediterranean,Salty
25.0,Night Owl,Light,Tropical,Asian,Spicy
42.0,Early Bird,Moderate,Cold,Mixed,Salty
63.0,Early Bird,Heavy,Temperate,Mixed,Salty
21.0,Night Owl,Moderate,Dry,,Sweet
50.0,,Heavy,Temperate,,Salty
18.0,Irregular,Light,Dry,Mixed,Sweet
36.0,Night Owl,Light,Temperate,Mediterranean,Sweet
48.0,Early Bird,Moderate,Temperate,Mixed,Salty
33.0,Night Owl,Heavy,Tropical,Asian,Sweet
31.0,Irregular,Light,Cold,Mixed,Sour
65.0,Irregular,Moderate,Temperate,Mediterranean,Salty
22.0,Night Owl,Moderate,Dry,Mixed,Sweet
58.0,Early Bird,Moderate,Cold,Asian,Sour
43.0,Night Owl,,,Mixed,Sweet
45.0,Early Bird,Heavy,Cold,Asian,Sour
,Early Bird,Light,Temperate,,Sweet
67.0,Night Owl,,Dry,Mixed,Sweet
23.0,Night Owl,,Dry,Mixed,Sweet
26.0,Early Bird,Moderate,Cold,Mediterranean,Sour
50.0,Early Bird,Light,Dry,Asian,Sweet
58.0,Early Bird,Moderate,Temperate,Asian,Sour
42.0,Early Bird,Moderate,Dry,Mixed,Salty
,,Heavy,Dry,Asian,Sour
30.0,Night Owl,Heavy,,Asian,Sweet
26.0,,Heavy,Temperate,Mixed,Sour
30.0,Night Owl,,Tropical,Asian,Spicy
48.0,Early Bird,Moderate,Dry,Asian,Sour
58.0,Night Owl,Light,Tropical,Mixed,Sweet
28.0,Night Owl,Moderate,Cold,Mixed,Sweet
21.0,Early Bird,Heavy,,Asian,Sweet
51.0,Early Bird,Heavy,Temperate,Mixed,Salty
55.0,Night Owl,Heavy,Temperate,Asian,Sweet
63.0,Night Owl,Heavy,Temperate,Asian,Sweet
21.0,Night Owl,Moderate,Temperate,Asian,Sweet
55.0,,Heavy,Tropical,,Sweet
36.0,Early Bird,Light,Temperate,Mixed,Sour
23.0,Irregular,Moderate,Tropical,Mixed,Sweet
51.0,Irregular,Heavy,Dry,Mediterranean,Salty
35.0,Early Bird,Light,,Mixed,Sour
30.0,Early Bird,,Cold,Mediterranean,Sour
58.0,Irregular,Moderate,Cold,Asian,Sour
40.0,Early Bird,Moderate,Tropical,Mixed,Sour
36.0,Night Owl,Light,Temperate,Asian,Sweet
62.0,Night Owl,Moderate,Cold,Mediterranean,Sour
28.0,Irregular,Light,Tropical,Mixed,Sweet
18.0,,Heavy,Cold,Mixed,Sour
41.0,Early Bird,Moderate,Temperate,Mixed,Salty
24.0,Early Bird,Heavy,Tropical,Mixed,Sweet
,Irregular,Heavy,Cold,Asian,Sour
38.0,Irregular,Moderate,Temperate,Mixed,Salty
32.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
18.0,Night Owl,Light,Tropical,Mixed,Spicy
29.0,Early Bird,Light,Tropical,Mediterranean,Sweet
24.0,Night Owl,Light,Dry,Mediterranean,Sweet
32.0,Early Bird,Moderate,Tropical,Asian,Sweet
38.0,Early Bird,Heavy,Cold,Mixed,Salty
36.0,Early Bird,Heavy,,Mediterranean,Sour
,Night Owl,Heavy,Tropical,Mixed,Sweet
42.0,,Heavy,Tropical,Asian,Sweet
50.0,Irregular,Light,Tropical,Asian,Sweet
66.0,Night Owl,Moderate,,Mixed,Sweet
49.0,Irregular,Light,Dry,Mediterranean,Sour
66.0,Early Bird,Light,Temperate,Asian,Sweet
52.0,Irregular,Moderate,Dry,Mediterranean,Salty
61.0,Night Owl,,Cold,Mediterranean,Sour
,Irregular,Light,Temperate,Mixed,Sour
43.0,Early Bird,Heavy,Cold,Asian,Sour
28.0,,Moderate,Tropical,Mixed,Sweet
52.0,Night Owl,Moderate,Cold,Mixed,Sour
25.0,Night Owl,Light,Dry,Mixed,Sweet
63.0,Night Owl,Heavy,Dry,Mediterranean,Sour
,Early Bird,Moderate,Tropical,Mixed,Sour
27.0,Irregular,Light,Tropical,Asian,Spicy
19.0,Irregular,Moderate,Temperate,Mediterranean,Sour
63.0,Night Owl,Heavy,Dry,Mixed,Sour
26.0,Irregular,Light,Dry,Asian,Sweet
20.0,Irregular,Light,Temperate,Mixed,Sweet
38.0,Night Owl,Heavy,Dry,Mixed,Sour
43.0,Night Owl,Light,Temperate,Mixed,Sweet
25.0,Early Bird,Heavy,Dry,Mediterranean,Sour
65.0,Early Bird,Light,Cold,Mixed,Sour
19.0,Early Bird,Heavy,Cold,Asian,Sweet
23.0,Early Bird,Moderate,Temperate,Mixed,Sour
45.0,Irregular,Moderate,Temperate,Mixed,Salty
46.0,Irregular,Moderate,Tropical,Mediterranean,Sour
43.0,Early Bird,Light,Dry,Mixed,Sour
42.0,Early Bird,Heavy,Cold,Asian,Sour
29.0,Night Owl,Heavy,Tropical,,Spicy
22.0,Irregular,Moderate,Dry,Mixed,Sour
51.0,Irregular,Moderate,Cold,Asian,Sour
65.0,Early Bird,Moderate,Dry,Asian,Sour
54.0,Irregular,Heavy,Temperate,Mixed,Salty
32.0,Night Owl,Moderate,Cold,Asian,Sweet
61.0,Night Owl,Light,Cold,Asian,Sweet
53.0,Irregular,Moderate,Tropical,Mixed,Sour
32.0,Early Bird,Moderate,Dry,Mediterranean,Salty
60.0,Irregular,Heavy,Temperate,Mediterranean,Salty
65.0,Night Owl,Light,Temperate,Mixed,Sweet
40.0,Early Bird,Heavy,Dry,Mediterranean,Salty
23.0,Irregular,Light,Dry,Mediterranean,Sweet
63.0,Early Bird,Light,Temperate,,Sour
67.0,Early Bird,Moderate,Dry,Mediterranean,Salty
61.0,Night Owl,Moderate,Tropical,Mixed,Sweet
60.0,Early Bird,Heavy,Dry,Mediterranean,Salty
62.0,Irregular,Heavy,Tropical,Mediterranean,Sour
38.0,Early Bird,Heavy,Tropical,Mixed,Sour
40.0,Early Bird,Light,Dry,Mixed,Sour
60.0,Irregular,Heavy,Cold,Mediterranean,Salty
33.0,Night Owl,Light,Cold,Asian,Sweet
64.0,Night Owl,Light,Tropical,Mixed,Sweet
32.0,Irregular,Light,Dry,Mixed,Sour
42.0,Irregular,Light,Tropical,Mediterranean,Sweet
53.0,Night Owl,Light,Dry,Asian,Sweet
28.0,Early Bird,Moderate,,Mixed,Sour
68.0,Irregular,,Temperate,Mixed,Sour
32.0,Early Bird,Light,,Mixed,Sour
21.0,Irregular,Moderate,Cold,Asian,Sweet
,Night Owl,Moderate,Temperate,Mixed,Sour
30.0,Early Bird,Moderate,Temperate,Mixed,Sour
39.0,Early Bird,Heavy,Temperate,Asian,Sour
36.0,Irregular,Heavy,Tropical,Mixed,Sour
51.0,Early Bird,Light,Tropical,Asian,Sweet
31.0,Irregular,Light,Tropical,Asian,Sweet
21.0,Night Owl,Light,Tropical,Asian,Spicy
65.0,Early Bird,Light,Tropical,Mediterranean,Sweet
,Irregular,,Cold,Mixed,Salty
,Early Bird,Heavy,,Mixed,Salty
44.0,Irregular,Moderate,Dry,Mixed,Salty
46.0,Irregular,Heavy,,Asian,Sour
64.0,Irregular,Moderate,Temperate,Mediterranean,Salty
45.0,Night Owl,Light,Cold,Asian,Sweet
52.0,Early Bird,Heavy,Temperate,Mixed,Salty
25.0,Night Owl,Light,Cold,Asian,Spicy
33.0,,Heavy,Tropical,Mediterranean,Sour
59.0,,,Cold,Mixed,Salty
53.0,Night Owl,Light,Dry,Asian,Sweet
47.0,Night Owl,Light,Tropical,Mediterranean,Sweet
35.0,Early Bird,Light,Tropical,Asian,Sweet
,Irregular,Moderate,Dry,Asian,Sweet
66.0,Night Owl,Heavy,Cold,Mixed,Sour
30.0,Irregular,Heavy,Cold,Mediterranean,Sour
21.0,Irregular,Heavy,Dry,Asian,Sweet
43.0,Early Bird,Light,Tropical,Mediterranean,Sweet
,Early Bird,Heavy,Dry,Mixed,Salty
47.0,Early Bird,,Temperate,Mixed,Salty
28.0,Night Owl,Light,Temperate,Mixed,Sweet
24.0,Irregular,Light,Cold,Mediterranean,Sweet
48.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
61.0,Night Owl,Moderate,Temperate,Asian,Sweet
27.0,Early Bird,Light,Dry,Mediterranean,Sweet
56.0,Irregular,Moderate,Cold,Mixed,Salty
30.0,,Moderate,Cold,Asian,Sweet
48.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
,Irregular,Moderate,Temperate,Mixed,Sour
66.0,Early Bird,,Cold,Mixed,Sour
59.0,Night Owl,Heavy,Dry,,Sweet
59.0,Night Owl,Heavy,Temperate,Mixed,Sour
53.0,Early Bird,Light,Cold,Mediterranean,Sour
37.0,Night Owl,Light,Cold,Mixed,Sweet
21.0,Night Owl,Moderate,Temperate,Asian,Sweet
,,Moderate,Temperate,Mixed,Sour
18.0,Night Owl,Light,,Mixed,Spicy
,Irregular,,Dry,Mediterranean,Salty
62.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
59.0,Early Bird,Light,Tropical,Mediterranean,Sweet
64.0,Irregular,Light,Dry,,Sour
30.0,Irregular,Light,Dry,Mixed,Sweet
39.0,,Moderate,Tropical,Mediterranean,Sweet
38.0,Irregular,Light,Temperate,Mixed,Sour
39.0,Early Bird,Heavy,Dry,Mediterranean,Salty
45.0,Irregular,Light,Tropical,Mediterranean,Sweet
26.0,Night Owl,Moderate,Temperate,Mediterranean,Sweet
,Night Owl,Heavy,Cold,Mixed,Sour
26.0,Irregular,Heavy,Temperate,Mediterranean,Sour
32.0,Early Bird,Light,Tropical,Mixed,Sweet
27.0,Early Bird,Light,Dry,Mediterranean,Sweet
41.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
59.0,Night Owl,Light,Temperate,Asian,Sweet
25.0,Early Bird,Moderate,Temperate,Mediterranean,Sour
41.0,Irregular,Heavy,Dry,Mixed,Salty
33.0,Irregular,Light,Dry,Asian,Sweet
66.0,,Heavy,Temperate,Mixed,Salty
43.0,Irregular,Light,Temperate,Mixed,Sour
44.0,Early Bird,Light,Tropical,Asian,Sweet
54.0,Night Owl,Moderate,Dry,Mediterranean,Sour
,Night Owl,Light,Temperate,,Spicy
,Irregular,,Dry,Mixed,Sour
41.0,Early Bird,,Dry,Mediterranean,Sour
36.0,Early Bird,,Dry,Asian,Sour
53.0,Irregular,Light,,Mixed,Sweet
56.0,Irregular,Light,Cold,Mediterranean,Sour
27.0,Irregular,,Dry,Mixed,Sweet
42.0,Night Owl,Heavy,Dry,Mediterranean,Sour
35.0,Irregular,Moderate,,Mediterranean,Salty
36.0,,Heavy,Dry,Asian,Sweet
53.0,Early Bird,Moderate,Cold,,Salty
27.0,,Moderate,Dry,Mixed,Sour
50.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
67.0,Night Owl,Moderate,Temperate,Mixed,Sour
22.0,Night Owl,Moderate,Cold,Mediterranean,Sweet
64.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
66.0,Irregular,Light,Cold,Asian,Sweet
52.0,Early Bird,Moderate,Temperate,Mediterranean,Salty
61.0,Irregular,Heavy,Dry,Mediterranean,Salty
51.0,Night Owl,Moderate,Temperate,Mixed,Sour
50.0,Irregular,Heavy,Temperate,Mixed,Salty
38.0,Irregular,Light,Dry,Mixed,Sour
34.0,,Moderate,Tropical,,Sour
39.0,Irregular,Light,Cold,Mixed,Sour
65.0,Early Bird,Light,Tropical,Mixed,Sweet
54.0,Night Owl,Heavy,Dry,Mediterranean,Sour
,Irregular,Moderate,Cold,Mixed,Salty
52.0,Night Owl,Moderate,Dry,Asian,Sweet
45.0,Early Bird,Moderate,Tropical,,Sweet
24.0,Night Owl,Moderate,Temperate,Mixed,Sweet
49.0,Night Owl,Moderate,Cold,Mixed,Sour
28.0,Early Bird,Heavy,,Mixed,Sour
27.0,Night Owl,Moderate,Cold,Mediterranean,Sweet
26.0,Night Owl,Light,Cold,Asian,Spicy
31.0,Night Owl,Light,Tropical,Asian,Spicy
30.0,Irregular,Moderate,Temperate,Mixed,Sour
42.0,Night Owl,Heavy,,Mixed,Sour
19.0,Early Bird,Heavy,Tropical,Mediterranean,Sweet
52.0,Irregular,Moderate,Cold,Mediterranean,Salty
24.0,,Light,Temperate,Asian,Sweet
38.0,Early Bird,Moderate,Cold,Mediterranean,Salty
35.0,Night Owl,Moderate,Temperate,Asian,Sweet
20.0,Irregular,Moderate,Tropical,Mixed,Sweet
59.0,Irregular,Heavy,Tropical,Mixed,Sour
56.0,Irregular,Heavy,Temperate,Asian,Sour
58.0,Night Owl,Light,Temperate,Mixed,Sweet
66.0,Irregular,,Tropical,Mediterranean,Sweet
28.0,Early Bird,Moderate,Temperate,Mixed,Sour
56.0,Night Owl,Light,,Mixed,Sweet
41.0,Early Bird,Moderate,Dry,Asian,Sour
63.0,Early Bird,Light,Cold,Mediterranean,Sour
36.0,Irregular,Moderate,Tropical,Mediterranean,Sour
21.0,Irregular,Heavy,Tropical,Mixed,Sweet
43.0,Irregular,Moderate,Dry,Mixed,Salty
55.0,Early Bird,Heavy,,Mediterranean,Salty
59.0,Night Owl,Heavy,Temperate,,Sour
49.0,Irregular,Light,Temperate,Asian,Sweet
,Irregular,,Tropical,Mixed,Sweet
62.0,Early Bird,Heavy,Dry,,Salty
63.0,Night Owl,Moderate,Cold,Mediterranean,Sour
53.0,Early Bird,Moderate,Dry,Asian,Sour
57.0,,Light,Tropical,,Sweet
54.0,Early Bird,Moderate,Cold,Mixed,Salty
50.0,Irregular,Moderate,Temperate,Mixed,Salty
53.0,Night Owl,Moderate,Dry,Mixed,Sour
,Early Bird,Heavy,Dry,Mixed,Sour
26.0,Irregular,Heavy,Tropical,Asian,Sweet
25.0,Irregular,Moderate,Dry,Mixed,Sour
50.0,Irregular,Light,Cold,Mediterranean,Sour
23.0,Irregular,Moderate,,Asian,Sweet
58.0,Early Bird,Light,Tropical,Asian,Sweet
56.0,Irregular,Heavy,Dry,Mixed,Salty
21.0,Early Bird,Moderate,Cold,Asian,Sweet
30.0,Irregular,Moderate,Cold,Mixed,Sour
,Early Bird,Light,Tropical,Asian,Sweet
19.0,Early Bird,Light,Temperate,Asian,Sweet
22.0,Irregular,Moderate,Tropical,Mediterranean,Sweet
61.0,Irregular,Moderate,Temperate,Mediterranean,Salty
44.0,Irregular,Light,Cold,Mediterranean,Sour
49.0,Irregular,Heavy,,Asian,Sour
38.0,Night Owl,Light,Dry,Mediterranean,Sweet
25.0,Irregular,Moderate,Cold,Mediterranean,Sour
55.0,Irregular,Heavy,Tropical,Mediterranean,Sour
25.0,Irregular,Heavy,Dry,Asian,Sweet
67.0,Early Bird,Heavy,,,Sour
20.0,Irregular,Heavy,Dry,Mediterranean,Sour
61.0,Early Bird,Moderate,Temperate,Asian,Sour
20.0,Early Bird,Heavy,Dry,Asian,Sweet
39.0,Early Bird,Light,Temperate,Mixed,Sour
23.0,Early Bird,Light,Dry,Mediterranean,Sweet
19.0,Night Owl,Light,Dry,Asian,Spicy
40.0,Irregular,,Dry,Asian,Sour
61.0,Early Bird,,Dry,Asian,Sour
19.0,Irregular,Light,Dry,Mixed,Sweet
55.0,Early Bird,Light,Tropical,Mediterranean,Sweet
34.0,Night Owl,Light,Temperate,Asian,Sweet
52.0,Early Bird,,Temperate,Asian,Sour
51.0,Irregular,Light,Dry,Asian,Sweet
40.0,,Heavy,Tropical,Asian,Sweet
47.0,Night Owl,Heavy,Tropical,Mediterranean,Sweet
69.0,Irregular,,Cold,Mediterranean,Salty
,Irregular,Moderate,Cold,Asian,Sweet
39.0,Early Bird,Moderate,Tropical,Asian,Sweet
61.0,Irregular,Heavy,Cold,Asian,Sour
53.0,,Heavy,Temperate,Mixed,Salty
22.0,Night Owl,Moderate,Tropical,Mixed,Sweet
30.0,Irregular,Moderate,Cold,,Sour
46.0,Early Bird,Heavy,Tropical,Asian,Sweet
48.0,Irregular,Moderate,Cold,Mixed,Salty
64.0,Early Bird,Light,Tropical,Mediterranean,Sweet
33.0,Night Owl,,Dry,Mixed,Sour
,Early Bird,Heavy,Temperate,Asian,Sour
47.0,Irregular,Moderate,Cold,,Salty
33.0,Early Bird,,Dry,Asian,Sweet
29.0,,Moderate,,Mediterranean,Sweet
34.0,Night Owl,Light,Dry,Mixed,Sweet
33.0,Early Bird,Light,Temperate,Mixed,Sour
29.0,Irregular,Heavy,Cold,Mediterranean,Sour
25.0,Irregular,Light,Cold,Mediterranean,Sweet
37.0,Irregular,Heavy,Tropical,Asian,Sweet
20.0,Early Bird,Light,Temperate,Mediterranean,Sweet
33.0,Early Bird,Heavy,Dry,Asian,Sour
47.0,Early Bird,Light,Tropical,Mediterranean,Sweet
,Night Owl,Moderate,Cold,Mediterranean,Sour
40.0,Irregular,,Dry,,Sour
45.0,Irregular,Moderate,Tropical,Mixed,Sour
68.0,Night Owl,Light,Dry,,Sweet
57.0,Night Owl,Light,Dry,Asian,Sweet
22.0,Early Bird,Heavy,Tropical,Asian,Sweet
37.0,Early Bird,Light,Dry,Mediterranean,Sour
57.0,Early Bird,,Dry,Mediterranean,Sour
,Early Bird,Light,Temperate,Asian,Sweet
,Early Bird,Moderate,Temperate,Mediterranean,Sour
47.0,Early Bird,Heavy,Cold,Mixed,Salty
38.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
37.0,Night Owl,Light,Tropical,Mixed,Sweet
23.0,Night Owl,Light,Dry,Asian,Spicy
39.0,Irregular,,Cold,Mediterranean,Salty
35.0,Irregular,Light,Temperate,Asian,Sweet
,Early Bird,Heavy,Dry,Mixed,Sour
56.0,Night Owl,Heavy,Tropical,Asian,Sweet
49.0,Irregular,Moderate,Dry,Mixed,Salty
50.0,Irregular,Moderate,Tropical,Mixed,Sour
33.0,Night Owl,Heavy,Dry,Asian,Sweet
29.0,Irregular,Moderate,Cold,Mixed,Sour
55.0,Irregular,Light,Cold,Asian,Sweet
69.0,Night Owl,Light,Temperate,Asian,Sweet
51.0,Irregular,Moderate,Temperate,Asian,Sour
31.0,Night Owl,Heavy,Dry,Mixed,Sour
,Irregular,,Dry,Mixed,Salty
50.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
40.0,Irregular,,Temperate,Asian,Sour
67.0,Irregular,Moderate,Dry,Asian,Sour
62.0,Night Owl,Moderate,Dry,Asian,Sweet
19.0,Irregular,Light,Dry,Asian,Sweet
58.0,Night Owl,Light,Cold,Asian,Sweet
38.0,Night Owl,Heavy,Tropical,Asian,Sweet
19.0,Irregular,Moderate,Tropical,Asian,Sweet
,Early Bird,Light,Temperate,Mediterranean,Sour
26.0,Irregular,Moderate,Cold,Mediterranean,Sour
,Early Bird,Heavy,Dry,Asian,Sweet
28.0,Early Bird,Light,Dry,Asian,Sweet
20.0,Irregular,Heavy,Temperate,Mediterranean,Sour
69.0,Early Bird,Light,Temperate,Mediterranean,Sour
40.0,Night Owl,,Cold,Asian,Sweet
43.0,Night Owl,Heavy,Tropical,Asian,Sweet
21.0,Early Bird,Light,Tropical,Mediterranean,Sweet
35.0,Night Owl,Light,Dry,Mediterranean,Sweet
23.0,Irregular,Moderate,Temperate,Asian,Sweet
52.0,Night Owl,Heavy,Cold,Mediterranean,Sour
39.0,Early Bird,Heavy,Dry,Asian,Sour
60.0,Irregular,Heavy,Tropical,Mixed,Sour
32.0,Night Owl,Moderate,Tropical,Asian,Sweet
39.0,Irregular,,Cold,Asian,Sweet
54.0,Early Bird,Light,Dry,Asian,Sweet
69.0,Night Owl,Heavy,,Mediterranean,Sour
59.0,Irregular,Light,Dry,Asian,Sweet
29.0,Irregular,Heavy,Tropical,Asian,Sweet
64.0,Night Owl,Moderate,Temperate,Mediterranean,Sour
66.0,Irregular,,Temperate,Mixed,Salty
59.0,Irregular,Moderate,Tropical,Mixed,Sour
55.0,Early Bird,Heavy,Temperate,Mediterranean,Salty
35.0,Early Bird,Light,Temperate,Asian,Sweet
62.0,Early Bird,Moderate,Dry,Mixed,Salty
52.0,Early Bird,Heavy,Cold,Mixed,Salty
47.0,Early Bird,Heavy,Dry,Mediterranean,Salty
41.0,Early Bird,Moderate,Cold,Mixed,Salty
59.0,Night Owl,Moderate,Cold,Mixed,Sour
47.0,Early Bird,Moderate,Temperate,,Salty
31.0,Irregular,,Cold,Mixed,Sour
23.0,Night Owl,Light,Cold,Asian,Spicy
20.0,Irregular,Heavy,Tropical,Mediterranean,Sweet
33.0,Early Bird,Moderate,Cold,Asian,Sour
24.0,Early Bird,Moderate,Tropical,,Sweet
69.0,Irregular,Light,Dry,Mediterranean,Sour
31.0,Irregular,Moderate,Temperate,Mixed,Salty
26.0,Irregular,Heavy,Cold,Mediterranean,Sour
32.0,Night Owl,Moderate,Tropical,Mixed,Sweet
38.0,Early Bird,Light,Dry,Asian,Sweet
52.0,Irregular,Heavy,Dry,Mixed,Salty
19.0,,Heavy,Dry,Asian,Sweet
44.0,Irregular,Moderate,Tropical,Asian,Sweet
19.0,Early Bird,Heavy,Tropical,Asian,Sweet
52.0,Night Owl,Moderate,Temperate,Mediterranean,Sour
35.0,Early Bird,Moderate,Cold,Mixed,Salty
31.0,Irregular,Light,Dry,Mixed,Sour
37.0,Early Bird,Heavy,Temperate,Mixed,Salty
35.0,Night Owl,Moderate,Tropical,Asian,Sweet
,Night Owl,Moderate,Temperate,Mediterranean,Sweet
42.0,Early Bird,Moderate,Dry,Mixed,Salty
19.0,Irregular,Heavy,Dry,,Sour
42.0,Night Owl,Heavy,Temperate,Mediterranean,Sour
50.0,Night Owl,Heavy,Dry,Mixed,Sour
53.0,,Moderate,Tropical,Mediterranean,Sour
48.0,,Heavy,Dry,Mediterranean,Sour
31.0,Night Owl,Moderate,Cold,Mixed,Sour
18.0,Irregular,Heavy,Cold,Mediterranean,Sour
63.0,Irregular,Heavy,Dry,Mediterranean,Salty
33.0,Irregular,,Temperate,Mixed,Salty
,Early Bird,Heavy,Dry,Asian,Sour
69.0,Night Owl,Moderate,Cold,Mixed,Sour
20.0,Early Bird,Heavy,Tropical,Mixed,Sweet
52.0,Night Owl,Heavy,Cold,Asian,Sweet
58.0,Night Owl,Heavy,Dry,Mediterranean,Sour
23.0,Night Owl,Heavy,Dry,Mixed,Sweet
42.0,Irregular,,Temperate,Asian,Sweet
,Early Bird,,Dry,Asian,Sweet
51.0,,Light,Dry,Mixed,Sour
25.0,Night Owl,Heavy,,Mixed,Sweet
38.0,Early Bird,Heavy,Tropical,Asian,Sweet
51.0,Irregular,Moderate,Tropical,Mixed,Sour
21.0,Early Bird,Moderate,Temperate,Asian,Sweet
,Night Owl,Moderate,Temperate,Mixed,Sour
,Irregular,Moderate,Cold,Asian,Sour
21.0,Irregular,Heavy,Temperate,Mixed,Sour
62.0,Night Owl,Moderate,Tropical,Mixed,Sweet
29.0,Early Bird,Light,Temperate,Mixed,Sweet
,Night Owl,Moderate,Dry,Mediterranean,Sour
49.0,Early Bird,Moderate,Temperate,Mixed,Salty
45.0,Early Bird,Light,Dry,Asian,Sweet
30.0,Irregular,Light,Cold,Asian,Sweet
48.0,Night Owl,Light,Dry,Mediterranean,Sweet
,Irregular,Light,Tropical,Mediterranean,Sweet
37.0,Night Owl,Moderate,Cold,Mediterranean,Sour
35.0,,Light,Cold,Mixed,Sweet
,Irregular,Heavy,Cold,Mixed,Salty
23.0,Night Owl,Moderate,Tropical,Asian,Spicy
49.0,Night Owl,Heavy,Dry,Asian,Sweet
46.0,,Moderate,Cold,Mixed,Salty
60.0,Night Owl,Moderate,Tropical,Asian,Sweet
19.0,Night Owl,Heavy,Cold,Mixed,Sweet
40.0,Irregular,Light,Cold,Mediterranean,Sour
36.0,Irregular,,Tropical,Mixed,Sweet
48.0,Night Owl,Heavy,Temperate,Mixed,Sour
,,Light,Cold,Mixed,Sour
22.0,Early Bird,Moderate,Temperate,Asian,Sweet
36.0,Irregular,Moderate,Cold,Mixed,Salty
51.0,Night Owl,,Temperate,,Sour
27.0,Night Owl,Light,Dry,Mixed,Sweet
42.0,Early Bird,Light,Temperate,Mediterranean,Sour
19.0,Early Bird,Heavy,Temperate,Mixed,Sour
28.0,Early Bird,,Temperate,Mixed,Sour
67.0,Irregular,Heavy,Temperate,Mixed,Salty
48.0,Night Owl,Light,Dry,Asian,Sweet
32.0,Irregular,Heavy,Tropical,Mediterranean,Sour
26.0,Night Owl,Light,Temperate,Mediterranean,Sweet
40.0,Irregular,Moderate,Tropical,Mixed,Sour
36.0,Night Owl,Moderate,Cold,Mixed,Sour
26.0,Early Bird,Light,Tropical,Asian,Spicy
52.0,Early Bird,Light,Temperate,,Sour
38.0,Early Bird,Light,Tropical,Asian,Sweet
26.0,Irregular,Moderate,Dry,Mixed,Sour
45.0,,Light,Dry,Asian,Sweet
63.0,Night Owl,Moderate,Temperate,Mediterranean,Sour
68.0,Irregular,Heavy,Tropical,Mixed,Sour
24.0,Night Owl,Moderate,Cold,Asian,Sweet
33.0,Irregular,Heavy,Dry,Asian,Sour
33.0,Night Owl,Moderate,Temperate,Mixed,Sour
50.0,Night Owl,,Dry,Asian,Sweet
21.0,,Light,Temperate,Mixed,Sweet
21.0,Irregular,Moderate,,Mixed,Sweet
56.0,Early Bird,Light,Tropical,Asian,Sweet
57.0,Early Bird,Light,Tropical,,Sweet
34.0,Night Owl,Light,Tropical,Asian,Spicy
54.0,Night Owl,Moderate,Tropical,Mediterranean,Sweet
56.0,Night Owl,Light,Temperate,Mixed,Sweet
69.0,Irregular,Heavy,Dry,Mixed,Salty
46.0,Irregular,Heavy,Cold,Mediterranean,Salty
69.0,Early Bird,Moderate,Dry,Mediterranean,Salty
53.0,Night Owl,Light,Tropical,Asian,Spicy
55.0,Early Bird,Heavy,Dry,Mixed,Salty
56.0,Irregular,Moderate,Dry,Mediterranean,Salty
67.0,Irregular,Moderate,Temperate,Mediterranean,Salty
54.0,Irregular,Moderate,Cold,,Salty
69.0,Early Bird,Moderate,Cold,Mixed,Salty
52.0,Irregular,,Tropical,Mixed,Sour
